Country Name,Country Code,2019
Aruba,ABW,
Africa Eastern and Southern,AFE,1530.059177
Afghanistan,AFG,494.1793499
Africa Western and Central,AFW,1777.918672
Angola,AGO,2809.626088
Albania,ALB,5395.659532
Andorra,AND,40897.33087
Arab World,ARB,6489.043216
United Arab Emirates,ARE,42701.44305
Argentina,ARG,10056.63794
Armenia,ARM,4604.646324
American Samoa,ASM,11715.36014
Antigua and Barbuda,ATG,17376.64968
Australia,AUS,54875.28596
Austria,AUT,50114.40111
Azerbaijan,AZE,4805.753718
Burundi,BDI,228.2135892
Belgium,BEL,46591.49161
Benin,BEN,1219.515506
Burkina Faso,BFA,796.1152068
Bangladesh,BGD,1855.740094
Bulgaria,BGR,9879.268533
Bahrain,BHR,23551.93009
"Bahamas, The",BHS,33799.41769
Bosnia and Herzegovina,BIH,6119.762345
Belarus,BLR,6837.717826
Belize,BLZ,5078.809944
Bermuda,BMU,117098.4463
Bolivia,BOL,3552.068143
Brazil,BRA,8897.552966
Barbados,BRB,18148.49785
Brunei Darussalam,BRN,31085.96193
Bhutan,BTN,3322.863329
Botswana,BWA,7203.064221
Central African Republic,CAF,467.9080323
Canada,CAN,46328.67184
Central Europe and the Baltics,CEB,16346.56181
Switzerland,CHE,85334.51946
Channel Islands,CHI,
Chile,CHL,14741.7144
China,CHN,10143.83817
Cote d'Ivoire,CIV,2276.332394
Cameroon,CMR,1533.095688
"Congo, Dem. Rep.",COD,580.7168706
"Congo, Rep.",COG,2369.729494
Colombia,COL,6424.979492
Comoros,COM,1401.542312
Cabo Verde,CPV,3603.775241
Costa Rica,CRI,12693.82796
Caribbean small states,CSS,10291.80732
Cuba,CUB,9125.878679
Curacao,CUW,19701.27038
Cayman Islands,CYM,91392.64259
Cyprus,CYP,29206.07672
Czech Republic,CZE,23660.14881
Germany,DEU,46794.89929
Djibouti,DJI,3414.916178
Dominica,DMA,8516.280039
Denmark,DNK,59775.7351
Dominican Republic,DOM,8282.117131
Algeria,DZA,3989.668276
East Asia & Pacific (excluding high income),EAP,8145.345437
Early-demographic dividend,EAR,3503.439733
East Asia & Pacific,EAS,11477.76105
Europe & Central Asia (excluding high income),ECA,8343.550431
Europe & Central Asia,ECS,24906.40229
Ecuador,ECU,6222.524653
"Egypt, Arab Rep.",EGY,3019.092283
Euro area,EMU,39188.49079
Eritrea,ERI,
Spain,ESP,29554.49052
Estonia,EST,23397.87826
Ethiopia,ETH,855.7608852
European Union,EUU,35083.70762
Fragile and conflict affected situations,FCS,1828.649338
Finland,FIN,48628.64176
Fiji,FJI,6175.890653
France,FRA,40578.64429
Faroe Islands,FRO,64225.2649
"Micronesia, Fed. Sts.",FSM,3585.392449
Gabon,GAB,7766.996554
United Kingdom,GBR,43070.49836
Georgia,GEO,4697.983652
Ghana,GHA,2246.625578
Gibraltar,GIB,
Guinea,GIN,1058.143368
"Gambia, The",GMB,772.0459142
Guinea-Bissau,GNB,749.453747
Equatorial Guinea,GNQ,8419.933336
Greece,GRC,19133.75776
Grenada,GRD,10827.43529
Greenland,GRL,53041.30331
Guatemala,GTM,4638.634943
Guam,GUM,38040.58699
Guyana,GUY,6609.51128
High income,HIC,45459.90382
"Hong Kong SAR, China",HKG,48354.47337
Honduras,HND,2556.456891
Heavily indebted poor countries (HIPC),HPC,985.1862838
Croatia,HRV,15311.7669
Haiti,HTI,1312.770636
Hungary,HUN,16735.65978
IBRD only,IBD,6461.334545
IDA & IBRD total,IBT,5144.345338
IDA total,IDA,1340.363459
IDA blend,IDB,1777.851069
Indonesia,IDN,4135.201531
IDA only,IDX,1118.853957
Isle of Man,IMN,86481.55259
India,IND,2100.751461
Not classified,INX,
Ireland,IRL,80886.61574
"Iran, Islamic Rep.",IRN,3114.622753
Iraq,IRQ,5980.626918
Iceland,ISL,68941.46223
Israel,ISR,43951.24773
Italy,ITA,33641.63375
Jamaica,JAM,5369.498371
Jordan,JOR,4405.487109
Japan,JPN,40777.6087
Kazakhstan,KAZ,9812.595808
Kenya,KEN,1912.647867
Kyrgyz Republic,KGZ,1374.032105
Cambodia,KHM,1643.121389
Kiribati,KIR,1601.861869
St. Kitts and Nevis,KNA,22046.68991
"Korea, Rep.",KOR,31902.4169
Kuwait,KWT,32373.25112
Latin America & Caribbean (excluding high income),LAC,8226.236324
Lao PDR,LAO,2635.800015
Lebanon,LBN,7578.172368
Liberia,LBR,672.3404992
Libya,LBY,7685.948132
St. Lucia,LCA,11591.08048
Latin America & Caribbean,LCN,8705.105315
Least developed countries: UN classification,LDC,1070.989965
Low income,LIC,692.1752812
Liechtenstein,LIE,175813.8756
Sri Lanka,LKA,3852.265603
Lower middle income,LMC,2354.578725
Low & middle income,LMY,4999.985276
Lesotho,LSO,1113.37214
Late-demographic dividend,LTE,9945.172612
Lithuania,LTU,19575.76848
Luxembourg,LUX,113218.7133
